case,n_terms,max_order,n_highorder,linear_gap%,n_local_opt,trap_rate%,complexity_idx,J_star
Case1,72,2,0,13.12,2,40.0,24.7,68.13786077216932
Case2,88,2,0,14.98,1,0.0,18.3,104.01975936103618
Case3,128,3,4,11.96,6,46.7,53.8,73.86692349587186
Case4,168,3,8,11.54,2,75.0,52.8,113.95397668426297
Case5,208,3,12,7.63,3,16.7,41.2,131.51670811045906
Case6,232,4,24,8.87,1,0.0,52.8,130.72675851692478
