algorithm,best,mean,std,worst,gap_to_best_pct
SA,68.138,68.138,0.000,68.138,0.00
PSO,66.026,58.357,8.146,44.110,3.10
GA,68.138,67.860,0.555,66.749,0.00
BO,68.138,68.138,0.000,68.138,0.00
